Timestamp,Source IP,Destination IP,Protocol
2025-06-28 19:48:59,192.168.189.128,13.107.137.11,6
2025-06-28 19:48:59,192.168.189.128,13.107.137.11,6
2025-06-28 19:48:59,192.168.189.128,13.107.137.11,6
2025-06-28 19:48:59,192.168.189.128,13.107.137.11,6
2025-06-28 19:48:59,13.107.137.11,192.168.189.128,6
2025-06-28 19:48:59,13.107.137.11,192.168.189.128,6
2025-06-28 19:48:59,13.107.137.11,192.168.189.128,6
2025-06-28 19:48:59,13.107.137.11,192.168.189.128,6
2025-06-28 19:48:59,13.107.137.11,192.168.189.128,6
2025-06-28 19:48:59,192.168.189.128,13.107.137.11,6
2025-06-28 19:48:59,13.107.137.11,192.168.189.128,6
2025-06-28 19:48:59,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:03,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:03,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:03,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:03,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:03,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:03,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:04,192.168.189.128,192.168.189.6,17
2025-06-28 19:49:04,192.168.189.128,192.168.189.6,17
2025-06-28 19:49:04,192.168.189.128,192.168.189.6,17
2025-06-28 19:49:04,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:04,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:04,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:04,192.168.189.6,192.168.189.128,17
2025-06-28 19:49:04,192.168.189.6,192.168.189.128,17
2025-06-28 19:49:04,192.168.189.6,192.168.189.128,17
2025-06-28 19:49:05,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:05,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:05,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:05,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:05,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:05,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:05,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:05,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:05,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:05,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:06,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:06,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:06,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:06,13.107.137.11,192.168.189.128,6
2025-06-28 19:49:06,192.168.189.107,224.0.0.251,17
2025-06-28 19:49:06,192.168.189.128,13.107.137.11,6
2025-06-28 19:49:07,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:07,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:07,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:07,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:07,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:07,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:07,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:07,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:07,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:07,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:07,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:07,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,20.189.173.17,192.168.189.128,6
2025-06-28 19:49:08,192.168.189.128,20.189.173.17,6
